trade_id,entry_time_unix,entry_unix,entry_time_et,entry_et,exit_time_et,exit_time_unix,exit_unix,exit_et,side,direction,entry_price,exit_price,nq_contracts,mnq_contracts,bars_held,point_value_usd,pnl_points,pnl_pct,trade_pnl_usd,pnl_usd,trade_profit_pct,trade_profit_usd,total_pnl_usd,cumulative_pnl_pct,cumulative_pnl_usd,result,updated_at_utc
1768576500|SHORT,,1768576500,2026-01-16 10:15:00 ET,2026-01-16 10:15:00 ET,2026-01-16 14:55:00 ET,,1768593300,2026-01-16 14:55:00 ET,,SHORT,25676.0,25727.0,,,55,,,-0.2256470611117667,,-112.82353055588334,-0.2256470611117667,-112.82353055588334,,-0.2256470611117667,-112.82353055588334,LOSS,2026-03-30T02:15:13.250577+00:00
1768889700|SHORT,,1768889700,2026-01-20 01:15:00 ET,2026-01-20 01:15:00 ET,2026-01-20 05:55:00 ET,,1768906500,2026-01-20 05:55:00 ET,,SHORT,25326.75,25176.25,,,55,,,0.5703521292554026,,285.1760646277013,0.5703521292554026,285.1760646277013,,0.3447050681436359,172.35253407181796,WIN,2026-03-30T02:15:13.250631+00:00
1768890000|SHORT,,1768890000,2026-01-20 01:20:00 ET,2026-01-20 01:20:00 ET,2026-01-20 06:00:00 ET,,1768906800,2026-01-20 06:00:00 ET,,SHORT,25322.5,25176.0,,,55,,,0.5544924480671121,,277.246224033556,0.5544924480671121,277.246224033556,,0.899197516210748,449.598758105374,WIN,2026-03-30T00:11:59.286142+00:00
1768893300|SHORT,,1768893300,2026-01-20 02:15:00 ET,2026-01-20 02:15:00 ET,2026-01-20 02:25:00 ET,,1768893900,2026-01-20 02:25:00 ET,,SHORT,25272.5,25297.5,,,2,20.0,,-1.0,,-500.0,-1.0,-500.0,,-0.10080248378925205,-50.401241894626025,LOSS,2026-03-31T02:24:43.746121+00:00
1768893900|SHORT,,1768893900,2026-01-20 02:25:00 ET,2026-01-20 02:25:00 ET,2026-01-20 02:55:00 ET,,1768895700,2026-01-20 02:55:00 ET,,SHORT,25296.25,25284.0,,,6,20.0,,0.49,,245.0,0.49,245.0,,0.38919751621074794,194.59875810537397,WIN,2026-03-31T02:24:43.746194+00:00
1768894800|SHORT,,1768894800,2026-01-20 02:40:00 ET,2026-01-20 02:40:00 ET,2026-01-20 03:30:00 ET,,1768897800,2026-01-20 03:30:00 ET,,SHORT,25272.75,25208.5,,,10,20.0,,2.5700000000000003,,1285.0,2.5700000000000003,1285.0,,2.9591975162107484,1479.598758105374,WIN,2026-04-01T02:06:31.646904+00:00
1768902600|SHORT,,1768902600,2026-01-20 04:50:00 ET,2026-01-20 04:50:00 ET,2026-01-20 05:10:00 ET,,1768903800,2026-01-20 05:10:00 ET,,SHORT,25122.0,25147.0,,,4,20.0,,-1.0,,-500.0,-1.0,-500.0,,1.9591975162107484,979.5987581053739,LOSS,2026-04-01T02:06:31.646986+00:00
1768903800|SHORT,,1768903800,2026-01-20 05:10:00 ET,2026-01-20 05:10:00 ET,2026-01-20 05:20:00 ET,,1768904400,2026-01-20 05:20:00 ET,,SHORT,25163.75,25188.75,,,2,20.0,,-1.0,,-500.0,-1.0,-500.0,,0.9591975162107484,479.5987581053739,LOSS,2026-04-01T02:06:31.647058+00:00
1768904400|SHORT,,1768904400,2026-01-20 05:20:00 ET,2026-01-20 05:20:00 ET,2026-01-20 05:25:00 ET,,1768904700,2026-01-20 05:25:00 ET,,SHORT,25185.25,25196.5,,,1,20.0,,-0.44999999999999996,,-225.0,-0.44999999999999996,-225.0,,0.5091975162107485,254.59875810537392,LOSS,2026-04-01T02:06:31.647098+00:00
1768913400|LONG,,1768913400,2026-01-20 07:50:00 ET,2026-01-20 07:50:00 ET,2026-01-20 12:30:00 ET,,1768930200,2026-01-20 12:30:00 ET,,LONG,25272.5,25339.25,,,55,,,0.2390394188874545,,119.51970944372725,0.2390394188874545,119.51970944372725,,0.748236935098203,374.1184675491012,WIN,2026-03-30T02:15:13.250676+00:00
1768996200|SHORT,,1768996200,2026-01-21 06:50:00 ET,2026-01-21 06:50:00 ET,2026-01-21 07:25:00 ET,,1768998300,2026-01-21 07:25:00 ET,,SHORT,25071.75,25071.25,,,7,20.0,,0.02,,10.0,0.02,10.0,,0.768236935098203,384.1184675491012,WIN,2026-04-02T03:25:34.172499+00:00
1769004600|LONG,,1769004600,2026-01-21 09:10:00 ET,2026-01-21 09:10:00 ET,2026-01-21 13:50:00 ET,,1769021400,2026-01-21 13:50:00 ET,,LONG,25198.0,25270.75,,,55,,,0.26366134430995114,,131.83067215497556,0.26366134430995114,131.83067215497556,,1.0318982794081542,515.9491397040767,WIN,2026-03-30T02:15:13.250834+00:00
1769036700|LONG,,1769036700,2026-01-21 18:05:00 ET,2026-01-21 18:05:00 ET,2026-01-21 22:45:00 ET,,1769053500,2026-01-21 22:45:00 ET,,LONG,25562.5,25579.0,,,55,,,0.039514647637628464,,19.757323818814232,0.039514647637628464,19.757323818814232,,1.0714129270457826,535.706463522891,WIN,2026-03-30T02:15:13.250898+00:00
