trade_id,entry_time_unix,entry_unix,entry_time_et,entry_et,exit_time_et,exit_time_unix,exit_unix,exit_et,side,direction,entry_price,exit_price,nq_contracts,mnq_contracts,bars_held,point_value_usd,pnl_points,pnl_pct,trade_pnl_usd,pnl_usd,trade_profit_pct,trade_profit_usd,total_pnl_usd,cumulative_pnl_pct,cumulative_pnl_usd,result,updated_at_utc
1768576500|SHORT,,1768576500,2026-01-16 10:15:00 ET,2026-01-16 10:15:00 ET,2026-01-16 14:55:00 ET,,1768593300,2026-01-16 14:55:00 ET,,SHORT,25676.0,25727.0,,,55,,,-0.2256470611117667,,-112.82353055588334,-0.2256470611117667,-112.82353055588334,,-0.2256470611117667,-112.82353055588334,LOSS,2026-03-30T02:38:12.514629+00:00
1768888800|SHORT,,1768888800,2026-01-20 01:00:00 ET,2026-01-20 01:00:00 ET,2026-01-20 02:10:00 ET,,1768893000,2026-01-20 02:10:00 ET,,SHORT,25377.5,25287.25,,,14,20.0,,3.61,,1805.0,3.61,1805.0,,3.384352938888233,1692.1764694441167,WIN,2026-03-30T03:21:20.302614+00:00
1768890000|SHORT,,1768890000,2026-01-20 01:20:00 ET,2026-01-20 01:20:00 ET,2026-01-20 06:00:00 ET,,1768906800,2026-01-20 06:00:00 ET,,SHORT,25322.5,25176.0,,,55,,,0.5544924480671121,,277.246224033556,0.5544924480671121,277.246224033556,,3.9388453869553453,1969.4226934776727,WIN,2026-03-30T02:38:12.514666+00:00
1768893300|SHORT,,1768893300,2026-01-20 02:15:00 ET,2026-01-20 02:15:00 ET,2026-01-20 02:25:00 ET,,1768893900,2026-01-20 02:25:00 ET,,SHORT,25272.5,25297.5,,,2,20.0,,-1.0,,-500.0,-1.0,-500.0,,2.9388453869553453,1469.4226934776727,LOSS,2026-03-30T04:16:29.549488+00:00
1768893900|SHORT,,1768893900,2026-01-20 02:25:00 ET,2026-01-20 02:25:00 ET,2026-01-20 02:55:00 ET,,1768895700,2026-01-20 02:55:00 ET,,SHORT,25296.25,25284.0,,,6,20.0,,0.49,,245.0,0.49,245.0,,3.428845386955345,1714.4226934776727,WIN,2026-03-30T04:16:29.549528+00:00
1768902600|SHORT,,1768902600,2026-01-20 04:50:00 ET,2026-01-20 04:50:00 ET,2026-01-20 05:10:00 ET,,1768903800,2026-01-20 05:10:00 ET,,SHORT,25122.0,25147.0,,,4,20.0,,-1.0,,-500.0,-1.0,-500.0,,2.428845386955345,1214.4226934776727,LOSS,2026-03-30T04:16:29.549585+00:00
1768903800|SHORT,,1768903800,2026-01-20 05:10:00 ET,2026-01-20 05:10:00 ET,2026-01-20 05:20:00 ET,,1768904400,2026-01-20 05:20:00 ET,,SHORT,25163.75,25188.75,,,2,20.0,,-1.0,,-500.0,-1.0,-500.0,,1.428845386955345,714.4226934776727,LOSS,2026-03-30T04:16:29.549605+00:00
1768904400|SHORT,,1768904400,2026-01-20 05:20:00 ET,2026-01-20 05:20:00 ET,2026-01-20 05:25:00 ET,,1768904700,2026-01-20 05:25:00 ET,,SHORT,25185.25,25196.5,,,1,20.0,,-0.44999999999999996,,-225.0,-0.44999999999999996,-225.0,,0.9788453869553451,489.42269347767274,LOSS,2026-03-30T04:16:29.549625+00:00
1768913400|LONG,,1768913400,2026-01-20 07:50:00 ET,2026-01-20 07:50:00 ET,2026-01-20 12:30:00 ET,,1768930200,2026-01-20 12:30:00 ET,,LONG,25272.5,25339.25,,,55,,,0.2390394188874545,,119.51970944372725,0.2390394188874545,119.51970944372725,,1.2178848058427996,608.9424029214,WIN,2026-03-30T02:38:12.514696+00:00
1768933500|SHORT,,1768933500,2026-01-20 13:25:00 ET,2026-01-20 13:25:00 ET,2026-01-20 16:55:00 ET,,1768946100,2026-01-20 16:55:00 ET,,SHORT,25247.75,25139.0,,,41,,,0.4061724815316303,,203.08624076581515,0.4061724815316303,203.08624076581515,,1.62405728737443,812.0286436872152,WIN,2026-03-30T02:38:12.514718+00:00
1768996200|SHORT,,1768996200,2026-01-21 06:50:00 ET,2026-01-21 06:50:00 ET,2026-01-21 07:25:00 ET,,1768998300,2026-01-21 07:25:00 ET,,SHORT,25071.75,25071.25,,,7,20.0,,0.02,,10.0,0.02,10.0,,1.64405728737443,822.0286436872152,WIN,2026-03-30T04:16:29.549958+00:00
1769004600|LONG,,1769004600,2026-01-21 09:10:00 ET,2026-01-21 09:10:00 ET,2026-01-21 13:55:00 ET,,1769021700,2026-01-21 13:55:00 ET,,LONG,25198.0,25285.75,,,55,,,0.3231750081372775,,161.58750406863876,0.3231750081372775,161.58750406863876,,1.9672322955117074,983.616147755854,WIN,2026-03-30T02:38:12.514799+00:00
1769030700|SHORT,,1769030700,2026-01-21 16:25:00 ET,2026-01-21 16:25:00 ET,2026-01-21 16:55:00 ET,,1769032500,2026-01-21 16:55:00 ET,,SHORT,25512.5,25506.5,,,5,,,-0.0014888586140737736,,-0.7444293070368868,-0.0014888586140737736,-0.7444293070368868,,1.9657434368976336,982.8717184488171,LOSS,2026-03-30T02:38:12.514814+00:00
1769036700|LONG,,1769036700,2026-01-21 18:05:00 ET,2026-01-21 18:05:00 ET,2026-01-21 22:45:00 ET,,1769053500,2026-01-21 22:45:00 ET,,LONG,25562.5,25579.0,,,55,,,0.03951464763765067,,19.757323818825334,0.03951464763765067,19.757323818825334,,2.005258084535284,1002.6290422676424,WIN,2026-03-30T02:31:10.511735+00:00
1769037000|LONG,,1769037000,2026-01-21 18:10:00 ET,2026-01-21 18:10:00 ET,2026-01-21 22:45:00 ET,,1769053500,2026-01-21 22:45:00 ET,,LONG,25545.25,25579.0,,,54,,,0.10708644589696448,,53.54322294848224,0.10708644589696448,53.54322294848224,,2.1123445304322486,1056.1722652161245,WIN,2026-03-30T02:38:12.514846+00:00
1769069100|LONG,,1769069100,2026-01-22 03:05:00 ET,2026-01-22 03:05:00 ET,2026-01-22 07:45:00 ET,,1769085900,2026-01-22 07:45:00 ET,,LONG,25615.75,25684.25,,,55,,,0.2423501740921541,,121.17508704607704,0.2423501740921541,121.17508704607704,,2.3546947045244027,1177.3473522622016,WIN,2026-03-30T02:38:12.514880+00:00
1769100300|LONG,,1769100300,2026-01-22 11:45:00 ET,2026-01-22 11:45:00 ET,2026-01-22 16:25:00 ET,,1769117100,2026-01-22 16:25:00 ET,,LONG,25687.25,25659.5,,,55,,,-0.1329993527365625,,-66.49967636828124,-0.1329993527365625,-66.49967636828124,,2.22169535178784,1110.8476758939205,LOSS,2026-03-30T02:38:12.514913+00:00
1769157000|SHORT,,1769157000,2026-01-23 03:30:00 ET,2026-01-23 03:30:00 ET,2026-01-23 04:05:00 ET,,1769159100,2026-01-23 04:05:00 ET,,SHORT,25607.5,25623.0,,,7,20.0,,-0.62,,-310.0,-0.62,-310.0,,1.60169535178784,800.8476758939205,LOSS,2026-03-30T04:16:29.550509+00:00
1769160900|SHORT,,1769160900,2026-01-23 04:35:00 ET,2026-01-23 04:35:00 ET,2026-01-23 09:15:00 ET,,1769177700,2026-01-23 09:15:00 ET,,SHORT,25576.5,25570.0,,,55,,,-0.0009078576900578561,,-0.45392884502892805,-0.0009078576900578561,-0.45392884502892805,,1.6007874940977822,800.3937470488916,LOSS,2026-03-30T02:38:12.514963+00:00
1769161200|SHORT,,1769161200,2026-01-23 04:40:00 ET,2026-01-23 04:40:00 ET,2026-01-23 05:20:00 ET,,1769163600,2026-01-23 05:20:00 ET,,SHORT,25551.75,25571.0,,,8,20.0,,-0.77,,-385.0,-0.77,-385.0,,0.8307874940977822,415.39374704889156,LOSS,2026-03-30T04:16:29.550557+00:00
1769180700|LONG,,1769180700,2026-01-23 10:05:00 ET,2026-01-23 10:05:00 ET,2026-01-23 12:45:00 ET,,1769190300,2026-01-23 12:45:00 ET,,LONG,25706.0,25730.0,,,31,,,0.06832278568398298,,34.161392841991486,0.06832278568398298,34.161392841991486,,0.8991102797817652,449.555139890883,WIN,2026-03-30T02:38:12.514982+00:00
1769190000|SHORT,,1769190000,2026-01-23 12:40:00 ET,2026-01-23 12:40:00 ET,2026-01-23 16:55:00 ET,,1769205300,2026-01-23 16:55:00 ET,,SHORT,25730.0,25685.5,,,50,,,0.14659163674624054,,73.29581837312027,0.14659163674624054,73.29581837312027,,1.0457019165280057,522.8509582640033,WIN,2026-03-30T02:38:12.515005+00:00
1769389200|LONG,,1769389200,2026-01-25 20:00:00 ET,2026-01-25 20:00:00 ET,2026-01-26 00:40:00 ET,,1769406000,2026-01-26 00:40:00 ET,,LONG,25635.75,25665.75,,,55,,,0.09197112297660848,,45.98556148830424,0.09197112297660848,45.98556148830424,,1.1376730395046142,568.8365197523076,WIN,2026-03-30T02:38:12.515041+00:00
1769438400|LONG,,1769438400,2026-01-26 09:40:00 ET,2026-01-26 09:40:00 ET,2026-01-26 14:20:00 ET,,1769455200,2026-01-26 14:20:00 ET,,LONG,25816.25,25906.5,,,55,,,0.324488412343249,,162.24420617162448,0.324488412343249,162.24420617162448,,1.4621614518478632,731.080725923932,WIN,2026-03-30T02:38:12.515086+00:00
1769530200|LONG,,1769530200,2026-01-27 11:10:00 ET,2026-01-27 11:10:00 ET,2026-01-27 15:50:00 ET,,1769547000,2026-01-27 15:50:00 ET,,LONG,26098.0,26098.25,,,55,,,-0.02403848051060198,,-12.01924025530099,-0.02403848051060198,-12.01924025530099,,1.4381229713372612,719.061485668631,LOSS,2026-03-30T02:38:12.515156+00:00
1769617800|SHORT,,1769617800,2026-01-28 11:30:00 ET,2026-01-28 11:30:00 ET,2026-01-28 16:10:00 ET,,1769634600,2026-01-28 16:10:00 ET,,SHORT,26150.75,26150.0,,,55,,,-0.027469349116437947,,-13.734674558218973,-0.027469349116437947,-13.734674558218973,,1.4106536222208232,705.326811110412,LOSS,2026-03-30T02:38:12.515223+00:00
1769697300|SHORT,,1769697300,2026-01-29 09:35:00 ET,2026-01-29 09:35:00 ET,2026-01-29 10:10:00 ET,,1769699400,2026-01-29 10:10:00 ET,,SHORT,26028.5,25721.5,,,7,20.0,,12.280000000000001,,6140.0,12.280000000000001,6140.0,,13.690653622220825,6845.326811110412,WIN,2026-03-30T04:16:29.551749+00:00
1769707800|LONG,,1769707800,2026-01-29 12:30:00 ET,2026-01-29 12:30:00 ET,2026-01-29 16:55:00 ET,,1769723700,2026-01-29 16:55:00 ET,,LONG,25850.25,25991.75,,,52,,,0.5222507737462134,,261.1253868731067,0.5222507737462134,261.1253868731067,,14.212904395967039,7106.452197983518,WIN,2026-03-30T02:38:12.515301+00:00
1769736900|SHORT,,1769736900,2026-01-29 20:35:00 ET,2026-01-29 20:35:00 ET,2026-01-29 23:15:00 ET,,1769746500,2026-01-29 23:15:00 ET,,SHORT,25841.25,25886.75,,,30,,,-0.20211499693322255,,-101.05749846661128,-0.20211499693322255,-101.05749846661128,,14.010789399033817,7005.394699516907,LOSS,2026-03-30T02:38:12.515332+00:00
1769740200|SHORT,,1769740200,2026-01-29 21:30:00 ET,2026-01-29 21:30:00 ET,2026-01-29 21:35:00 ET,,1769740500,2026-01-29 21:35:00 ET,,SHORT,25764.75,25789.75,,,1,20.0,,-1.0,,-500.0,-1.0,-500.0,,13.010789399033817,6505.394699516907,LOSS,2026-03-30T04:16:29.551892+00:00
1769740500|SHORT,,1769740500,2026-01-29 21:35:00 ET,2026-01-29 21:35:00 ET,2026-01-29 21:50:00 ET,,1769741400,2026-01-29 21:50:00 ET,,SHORT,25779.0,25804.0,,,3,20.0,,-1.0,,-500.0,-1.0,-500.0,,12.010789399033817,6005.394699516907,LOSS,2026-03-30T04:16:29.551917+00:00
1769741400|SHORT,,1769741400,2026-01-29 21:50:00 ET,2026-01-29 21:50:00 ET,2026-01-29 22:00:00 ET,,1769742000,2026-01-29 22:00:00 ET,,SHORT,25826.25,25851.25,,,2,20.0,,-1.0,,-500.0,-1.0,-500.0,,11.010789399033817,5505.394699516907,LOSS,2026-03-30T04:16:29.551938+00:00
1769742000|SHORT,,1769742000,2026-01-29 22:00:00 ET,2026-01-29 22:00:00 ET,2026-01-29 22:05:00 ET,,1769742300,2026-01-29 22:05:00 ET,,SHORT,25864.25,25884.0,,,1,20.0,,-0.79,,-395.0,-0.79,-395.0,,10.220789399033816,5110.394699516907,LOSS,2026-03-30T04:16:29.551958+00:00
1769746200|LONG,,1769746200,2026-01-29 23:10:00 ET,2026-01-29 23:10:00 ET,2026-01-30 01:20:00 ET,,1769754000,2026-01-30 01:20:00 ET,,LONG,25886.75,25788.25,,,24,,,-0.4054009597571073,,-202.70047987855367,-0.4054009597571073,-202.70047987855367,,9.815388439276708,4907.694219638353,LOSS,2026-03-30T02:38:12.515346+00:00
1769756100|SHORT,,1769756100,2026-01-30 01:55:00 ET,2026-01-30 01:55:00 ET,2026-01-30 02:05:00 ET,,1769756700,2026-01-30 02:05:00 ET,,SHORT,25750.75,25775.75,,,2,20.0,,-1.0,,-500.0,-1.0,-500.0,,8.815388439276708,4407.694219638353,LOSS,2026-03-30T04:16:29.552020+00:00
1769756700|SHORT,,1769756700,2026-01-30 02:05:00 ET,2026-01-30 02:05:00 ET,2026-01-30 02:55:00 ET,,1769759700,2026-01-30 02:55:00 ET,,SHORT,25795.0,25710.5,,,10,20.0,,3.38,,1690.0,3.38,1690.0,,12.195388439276709,6097.694219638353,WIN,2026-03-30T04:16:29.552068+00:00
1769758500|SHORT,,1769758500,2026-01-30 02:35:00 ET,2026-01-30 02:35:00 ET,2026-01-30 06:30:00 ET,,1769772600,2026-01-30 06:30:00 ET,,SHORT,25736.25,25817.75,,,46,,,-0.343355264471068,,-171.67763223553402,-0.343355264471068,-171.67763223553402,,11.85203317480564,5926.016587402819,LOSS,2026-03-30T02:31:10.512303+00:00
1769772300|LONG,,1769772300,2026-01-30 06:25:00 ET,2026-01-30 06:25:00 ET,2026-01-30 06:50:00 ET,,1769773800,2026-01-30 06:50:00 ET,,LONG,25817.75,25797.75,,,4,,,-0.10242496635668452,,-51.21248317834226,-0.10242496635668452,-51.21248317834226,,11.749608208448956,5874.804104224477,LOSS,2026-03-30T02:31:10.512312+00:00
1770129300|SHORT,,1770129300,2026-02-03 09:35:00 ET,2026-02-03 09:35:00 ET,2026-02-03 10:10:00 ET,,1770131400,2026-02-03 10:10:00 ET,,SHORT,25820.5,25553.5,,,7,20.0,,10.68,,5340.0,10.68,5340.0,,22.429608208448954,11214.804104224477,WIN,2026-03-30T04:16:29.552419+00:00
1770153000|LONG,,1770153000,2026-02-03 16:10:00 ET,2026-02-03 16:10:00 ET,2026-02-03 16:55:00 ET,,1770155700,2026-02-03 16:55:00 ET,,LONG,25447.75,25405.5,,,8,,,-0.19103360231247368,,-95.51680115623684,-0.19103360231247368,-95.51680115623684,,22.23857460613648,11119.28730306824,LOSS,2026-03-30T02:38:12.515464+00:00
