trade_id,entry_unix,entry_et,entry_time_et,entry_price,exit_unix,exit_et,exit_time_et,exit_price,direction,bars_held,pnl_pct,trade_profit_pct,pnl_usd,trade_profit_usd,cumulative_pnl_pct,cumulative_pnl_usd,result,updated_at_utc
1768576500|SHORT,1768576500,2026-01-16 10:15:00 ET,2026-01-16 10:15:00 ET,25676.0,1768593300,2026-01-16 14:55:00 ET,2026-01-16 14:55:00 ET,25727.0,SHORT,55,-0.2256470611117667,-0.2256470611117667,-112.82353055588334,-112.82353055588334,-0.2256470611117667,-112.82353055588334,LOSS,2026-03-30T02:15:13.250577+00:00
1768889700|SHORT,1768889700,2026-01-20 01:15:00 ET,2026-01-20 01:15:00 ET,25326.75,1768906500,2026-01-20 05:55:00 ET,2026-01-20 05:55:00 ET,25176.25,SHORT,55,0.5703521292554026,0.5703521292554026,285.1760646277013,285.1760646277013,0.3447050681436359,172.35253407181796,WIN,2026-03-30T02:15:13.250631+00:00
1768890000|SHORT,1768890000,2026-01-20 01:20:00 ET,2026-01-20 01:20:00 ET,25322.5,1768906800,2026-01-20 06:00:00 ET,2026-01-20 06:00:00 ET,25176.0,SHORT,55,0.5544924480671121,0.5544924480671121,277.246224033556,277.246224033556,0.899197516210748,449.598758105374,WIN,2026-03-30T00:11:59.286142+00:00
1768913400|LONG,1768913400,2026-01-20 07:50:00 ET,2026-01-20 07:50:00 ET,25272.5,1768930200,2026-01-20 12:30:00 ET,2026-01-20 12:30:00 ET,25339.25,LONG,55,0.2390394188874545,0.2390394188874545,119.51970944372725,119.51970944372725,1.1382369350982025,569.1184675491012,WIN,2026-03-30T02:15:13.250676+00:00
1768933500|SHORT,1768933500,2026-01-20 13:25:00 ET,2026-01-20 13:25:00 ET,25247.75,1768953900,2026-01-20 19:05:00 ET,2026-01-20 19:05:00 ET,25127.25,SHORT,55,0.45271942536571075,0.45271942536571075,226.3597126828554,226.3597126828554,1.5909563604639132,795.4781802319566,WIN,2026-03-30T02:15:13.250737+00:00
1768996200|SHORT,1768996200,2026-01-21 06:50:00 ET,2026-01-21 06:50:00 ET,25071.5,1769004900,2026-01-21 09:15:00 ET,2026-01-21 09:15:00 ET,25198.0,SHORT,28,-0.5287785233590858,-0.5287785233590858,-264.3892616795429,-264.3892616795429,1.0621778371048274,531.0889185524136,LOSS,2026-03-30T02:15:13.250799+00:00
1769004600|LONG,1769004600,2026-01-21 09:10:00 ET,2026-01-21 09:10:00 ET,25198.0,1769021400,2026-01-21 13:50:00 ET,2026-01-21 13:50:00 ET,25270.75,LONG,55,0.26366134430995114,0.26366134430995114,131.83067215497556,131.83067215497556,1.3258391814147785,662.9195907073891,WIN,2026-03-30T02:15:13.250834+00:00
1769030700|SHORT,1769030700,2026-01-21 16:25:00 ET,2026-01-21 16:25:00 ET,25512.5,1769037000,2026-01-21 18:10:00 ET,2026-01-21 18:10:00 ET,25562.5,SHORT,8,-0.22093900532004218,-0.22093900532004218,-110.46950266002109,-110.46950266002109,1.1049001760947363,552.450088047368,LOSS,2026-03-30T02:15:13.250863+00:00
1769036700|LONG,1769036700,2026-01-21 18:05:00 ET,2026-01-21 18:05:00 ET,25562.5,1769053500,2026-01-21 22:45:00 ET,2026-01-21 22:45:00 ET,25579.0,LONG,55,0.039514647637628464,0.039514647637628464,19.757323818814232,19.757323818814232,1.1444148237323648,572.2074118661823,WIN,2026-03-30T02:15:13.250898+00:00
1769069100|LONG,1769069100,2026-01-22 03:05:00 ET,2026-01-22 03:05:00 ET,25615.75,1769085900,2026-01-22 07:45:00 ET,2026-01-22 07:45:00 ET,25684.25,LONG,55,0.2423501740921541,0.2423501740921541,121.17508704607704,121.17508704607704,1.386764997824519,693.3824989122593,WIN,2026-03-30T02:15:13.250946+00:00
1769100300|LONG,1769100300,2026-01-22 11:45:00 ET,2026-01-22 11:45:00 ET,25687.25,1769117100,2026-01-22 16:25:00 ET,2026-01-22 16:25:00 ET,25659.5,LONG,55,-0.1329993527365625,-0.1329993527365625,-66.49967636828124,-66.49967636828124,1.2537656450879564,626.882822543978,LOSS,2026-03-30T02:15:13.250993+00:00
1769160900|SHORT,1769160900,2026-01-23 04:35:00 ET,2026-01-23 04:35:00 ET,25576.5,1769177700,2026-01-23 09:15:00 ET,2026-01-23 09:15:00 ET,25570.0,SHORT,55,-0.0009078576900578561,-0.0009078576900578561,-0.45392884502892805,-0.45392884502892805,1.2528577873978985,626.4288936989491,LOSS,2026-03-30T02:15:13.251061+00:00
1769180700|LONG,1769180700,2026-01-23 10:05:00 ET,2026-01-23 10:05:00 ET,25706.0,1769190300,2026-01-23 12:45:00 ET,2026-01-23 12:45:00 ET,25730.0,LONG,31,0.06832278568398298,0.06832278568398298,34.161392841991486,34.161392841991486,1.3211805730818815,660.5902865409406,WIN,2026-03-30T02:15:13.251089+00:00
1769190000|SHORT,1769190000,2026-01-23 12:40:00 ET,2026-01-23 12:40:00 ET,25730.0,1769383800,2026-01-25 18:30:00 ET,2026-01-25 18:30:00 ET,25530.75,SHORT,55,0.7442253585959735,0.7442253585959735,372.11267929798674,372.11267929798674,2.065405931677855,1032.7029658389274,WIN,2026-03-30T02:15:13.251127+00:00
1769389200|LONG,1769389200,2026-01-25 20:00:00 ET,2026-01-25 20:00:00 ET,25635.75,1769406000,2026-01-26 00:40:00 ET,2026-01-26 00:40:00 ET,25665.75,LONG,55,0.09197112297660848,0.09197112297660848,45.98556148830424,45.98556148830424,2.1573770546544635,1078.6885273272317,WIN,2026-03-30T02:15:13.251166+00:00
1769438400|LONG,1769438400,2026-01-26 09:40:00 ET,2026-01-26 09:40:00 ET,25816.25,1769455200,2026-01-26 14:20:00 ET,2026-01-26 14:20:00 ET,25906.5,LONG,55,0.324488412343249,0.324488412343249,162.24420617162448,162.24420617162448,2.4818654669977125,1240.9327334988561,WIN,2026-03-30T02:15:13.251227+00:00
